Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,19:12:35,19:17:38,19:22:38,19:27:38,19:32:38,19:37:38,19:42:38,19:47:38,19:52:38,19:57:38,20:02:38,20:07:38,20:12:38,20:17:38,20:22:38,20:27:38,20:32:38,20:37:39,20:42:38,20:47:38,20:52:38,20:57:39
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
68.5,1098.92,2704.07,2077.82,2115.72,1735.71,1953.51,1617.3,3612.97,2750.52,2787.41,2406.01,2214.85,2336.46,2067.85,1954.16,2016.23,1677.73,2056.88,1752.32,1805.97,1769.67,1398.37
71,1015.52,2173.18,1908.44,1959.6,1947.43,1301.87,1508.19,3469.64,2895.17,2956.76,2337.47,2617.8,2162.37,1991.04,1942.59,1955.39,1669.48,1559.78,1488.26,1758.33,1661.92,1466.6
73.7,990.73,2507.83,1643.13,1653.68,2046.32,1055.35,1716.71,3045.89,2465.27,3039.31,2508.26,1802.24,2136.05,1810.82,1405.49,1888.38,1360.6,1657.45,1584.63,1691.74,1435.25,1674.54
76.4,1096.69,2255.35,1628.35,1721.19,1999.21,1776.16,1402.39,2586.85,2915.25,2383.2,1873.05,1982.69,1566.15,2028.74,1196.75,1978.37,1802.74,1433.57,1635.41,1233.36,1499.12,1200.47
79.1,899.364,1957.83,1639.19,2123.69,1632.14,1116.75,1599.18,2942.8,2258.87,1804.63,1969.06,1721.95,1418.83,1826.84,1755.48,1594.08,1734.39,1439.98,930.533,1393.15,1511.09,1237.78
82,915.879,1789.19,1747.18,1817.27,1670.02,1054.59,1680.28,2537,2867.93,1820.17,2180.2,2093.39,1605.86,1991.85,1231.62,1720.46,1379.17,1362.72,1172.03,1836.57,1137.9,1284.56
85.1,581.633,1772.03,1554.26,1696.81,1503.75,1437.01,1120.76,2510.03,2432.11,2260.28,2118.68,1926.53,1964.24,1633.68,1666.44,1640.84,1695.13,1669.33,1219.52,1476.51,1204.95,1451.03
88.2,988.273,1925.69,1736.33,1671.71,1437.66,1039.73,1353.39,2575.71,2205.19,2023.04,2154.97,2059.17,2090.56,1740.97,1641.93,1456.73,1183.9,1443.33,1303.71,1160.76,1342.94,1365.46
91.4,1020.72,1836.87,1144.09,1706.31,1728.47,1368.03,1594.33,2382.07,1760.08,2167.21,2044.47,1698.46,1986.35,1612.92,1489.86,1558.88,1781.94,1405.21,1078.59,1196.23,1291.2,1113.66
94.7,697.379,1888.55,1467.92,1219.88,1305.48,1648.66,1355.65,2701.36,1830.48,2157.65,1808.2,2154.47,1885.39,1213.56,1680.45,1387.38,1628.65,1075.61,1223.19,1150.81,1317.1,813.837
98.2,659.828,1631.55,1306.06,990.325,1468.81,1108.29,1097.49,2193.61,2126.81,1754.85,1962.46,1674.23,1793.8,1812.25,1267.52,1704.67,1481.34,1448.65,1546.05,1087.41,944.993,986.855
101.8,523.398,1432.95,1254.12,1749.78,1251.36,1135.51,1282.35,2244.96,1971.54,1451.1,1553.35,1613.85,1426.42,1522.35,1389.59,1240.55,1091.63,1380.25,1298.13,1446.52,1158.03,1053.03
105.5,881.035,2301.76,1847.3,1436.27,1522.03,1458.92,1514.9,2462.83,2462.75,2134.66,2075.23,2077.71,1681.08,1741.75,1607.62,1705.24,1522.47,1587.27,1573.78,1408.77,1379.73,1399.9
109.4,937.329,2005.88,1900.45,1775.99,1881.42,1890.85,1811.8,2821.27,2816.25,2337.06,2751.46,2247.8,2058.82,1866.89,1909.97,2039.79,1850.2,1704.11,1627.56,1581.88,1941.36,1272.59
113.4,1181.92,2329.9,1706.64,1816.79,1522.76,1623.2,1387.34,3067.7,2327.93,2432.18,2313.19,2475.68,1962.43,1654.37,2022.14,1737.81,1449.39,1509.1,1654.23,1518.09,1370.05,1365.44
117.6,942.37,2288.63,1721.43,1733.42,1462.86,1720.89,1267.57,2816.21,2535.38,2602.08,2089.68,2178.42,2211.03,1832.9,2101.67,1525.44,1831.26,1502.87,1249.98,1396,1452.12,1322.14
