Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low 1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,15:17:14,15:22:18,15:27:18,15:32:18,15:37:18,15:42:18,15:47:18,15:52:18,15:57:18,16:02:18,16:07:18,16:12:18,16:17:18,16:22:18,16:27:18,16:32:18,16:37:18,16:42:18,16:47:18,16:52:18,16:57:18,17:02:18
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
76.4,506.45,658.402,518.545,463.353,494.898,286.894,531.571,531.775,474.924,212.626,167.611,228.616,190.915,8.74315,123.078,21.0034,84.8606,52.5732,128.843,72.1995,66.5768,0
79.1,642.687,765.773,664.28,450.7,380.868,246.352,453.144,708.482,583.162,414.429,313.548,137.615,26.675,87.1789,96.4184,53.8114,63.6972,29.5416,80.9613,0,0,51.8559
82,620.258,615.442,408.379,443.712,380.372,633.786,285.157,659.053,582.26,220.021,298.998,181.092,181.538,170.643,79.6708,63.8139,32.9105,72.0748,42.1083,34.2197,0,0
85.1,524.815,776.144,443.663,319.614,372.816,433.092,303.963,922.229,420.039,494.316,299.134,117.806,130.552,68.8457,34.6435,83.8185,33.4923,0,53.4125,125.317,43.1769,14.1143
88.2,851.637,686.338,549.229,451.008,431.248,292.187,348.616,726.745,497.181,343.859,226.67,195.513,154.77,176.144,119.562,0,66.8177,0,44.4319,11.6232,56.3104,27.4647
91.4,519.888,636.844,758.73,641.629,407.728,299.846,354.492,600.535,579.435,588.87,170.712,244.119,199.885,94.7825,52.8222,64.1095,7.5626,9.72513,73.5732,143.598,23.4535,45.2755
94.7,700.058,569.121,616.441,551.677,472.87,387.612,383.303,519.841,538.22,470.55,272.475,192.869,130.379,103.562,136.536,115.438,49.2555,17.453,35.6663,0,0,89.2771
98.2,822.07,843.439,724.603,450.512,471.799,355.155,308.041,590.055,415.659,444.605,417.964,201.104,132.785,112.754,38.6487,127.543,24.683,69.38,70.3013,0,57.2647,28.3898
101.8,664.519,573.093,548.642,638.559,381.84,397.537,399.859,747.918,497.375,281.384,306.042,209.519,282.961,138.013,130.797,117.775,16.6146,58.1698,11.4175,53.1213,100.257,131.913
105.5,459.447,746.266,588.148,632.677,531.523,545.45,316.328,625.349,524.23,315.32,187.759,171.862,80.3271,228.32,61.5269,33.9429,72.2117,24.078,82.0321,104.102,0,15.5026
109.4,1037.65,674.794,847.276,848.881,620.265,720.175,573.522,937.185,936.192,381.647,328.436,131.333,230.792,122.044,191.233,92.5935,121.878,94.3824,10.898,67.9699,26.7054,44.7854
113.4,1140.15,1091.23,789.127,774.737,725.823,833.914,753.736,1176.5,713.165,633.853,491.238,320.715,151.052,296.258,118.158,151.918,104.634,76.8214,110.581,101.279,33.7595,50.6393
117.6,1117.49,716.527,553.36,687.205,836.164,484.602,580.066,940.854,711.462,562.503,366.592,267.857,261.164,146.509,133.928,167.411,117.187,107.961,43.5301,66.9642,66.9642,83.7053
121.9,1065.93,743.151,987.32,708.134,691.451,527.907,672.244,762.358,751.483,567.973,470.4,346.921,180.986,211.827,100.096,83.4137,83.4137,166.827,30.8414,83.4137,50.0482,76.7141
126.3,1105.2,814.717,1108.32,655.125,753.044,546.563,636.656,862.755,789.289,462.28,395.772,365.51,363.948,116.388,133.015,149.642,66.5075,48.0379,99.7612,66.5075,83.1344,73.1846
131,984.692,879.741,657.236,514.451,896.798,602.828,482.464,848.431,618.725,530.686,364.614,335.141,217.629,198.88,132.587,198.88,66.97,150.997,66.2934,116.013,66.2934,99.4401
135.8,808.053,940.049,890.146,775.323,611.317,593.76,528.347,873.961,627.839,495.145,429.394,280.875,148.361,148.519,99.1324,198.265,148.024,115.475,131.997,49.5662,131.997,115.654
140.7,675.261,824.384,754.751,668.75,535.816,629.229,546.483,827.819,595.77,377.376,413.91,294.45,182.041,165.672,314.434,95.8595,33.0984,66.3769,99.4752,82.7459,79.4904,66.1967
145.9,829.969,1047.89,726.851,538.438,694.734,561.27,412.063,776.792,836.018,491.309,298.415,318.435,288.924,149.207,66.3144,86.3347,132.629,116.05,23.6669,49.7358,53.1775,49.7358
151.2,911.71,872.679,536.735,761.128,421.615,397.403,509.564,560.948,588.119,569.801,380.259,213.144,240.926,231.462,148.797,115.731,180.078,82.6649,92.1291,97.4134,115.731,115.731
156.8,765.091,818.366,846.67,587.691,569.872,435.553,439.129,633.096,646.086,468.686,317.801,233.716,182.229,115.964,132.53,132.53,71.0946,102.439,66.2652,51.487,152.138,49.6989
162.5,887.36,609.938,591.392,613.533,483.686,445.478,400.625,797.382,453.511,478.702,300.952,232.57,182.733,166.121,132.897,99.6728,113.235,80.0109,66.4485,33.2243,96.6231,66.4485
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
