Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
 51.4	45.2406	89.653	15.2694	123.015	38.7914	80.8261	203.243	176.637	243.747	211.218	175.41	288.133	254.022	986.3	373.226	446.409	154.616	135.578	118.54	41.173	21.5667	23.5905	0	0	0	23.4118	47.9374	23.2468	0	24.4711
 53.3	17.4017	111.161	185.157	147.337	136.008	143.695	224.612	222.709	211.692	268.728	129.406	254.265	316.985	883.708	598.425	246.704	337.091	126.974	83.6497	40.4528	45.7051	47.612	21.5968	59.8489	17.2647	0	0	21.6121	0	0
 55.2	112.525	33.7181	83.619	91.4655	254.141	278.953	264.299	68.2561	242.875	59.1367	146.127	167.596	247.5	914.385	579.357	273.41	324.297	119.137	168.346	19.1223	21.5479	22.0837	44.8048	55.3667	18.0805	0	0	20.1985	0	20.6582
 57.3	86.2694	56.8544	12.8892	61.4539	140.259	251.712	45.4393	295.599	309.682	238.938	293.375	267.623	196.268	717.235	414.244	294.726	187.546	27.9942	55.922	42.9961	41.5585	22.0909	45.1506	22.5753	0	0	0	21.2994	21.6935	21.6569
 59.4	83.3445	144.65	61.4023	99.4174	135.042	161.094	204.124	96.0845	103.451	142.237	249.231	194.154	135.039	774.141	599.613	186.312	164.871	73.8714	56.1306	18.7944	108.522	21.8437	44.0105	0	0	22.0053	0	22.0053	44.0105	0
 61.5	57.9554	15.9098	0	73.516	287.651	184.293	148.142	200.821	172.606	53.8729	334.332	181.97	171.141	653.285	513.714	301.94	83.508	46.9868	31.5289	62.1639	0	0	16.2625	16.1555	42.9256	41.1728	0	21.4628	21.4628	20.8208
 63.8	68.0387	98.5636	100.233	72.4741	134.569	206.042	243.014	182.93	183.473	115.016	273.765	171.913	71.6231	628.571	593.029	313.35	66.2968	224.193	77.6473	38.5755	58.5152	19.6059	18.4315	18.2047	17.3104	20.3801	14.2218	18.9228	0	19.4503
 66.1	138.924	55.0397	26.9332	33.5762	191.271	169.227	135.279	149.103	186.719	126.226	65.421	230.507	207.608	717.892	565.781	193.625	100.73	43.5899	78.4299	58.075	60.4313	0	0	18.8661	38.8768	0	15.8291	19.9549	40.4271	78.6344
 68.5	52.2678	95.2819	54.2755	99.505	213.378	164.205	130.16	57.6838	214.787	8.6993	182.928	184.37	145.728	848.413	246.395	212.889	177.049	62.2125	120.054	58.2953	70.0165	0	20.086	39.9569	16.2966	0	3.04635	20.086	0	0
 71.0	2.02107	51.4921	123.237	126.979	142.553	52.6284	92.4917	203.884	80.6185	69.4591	204.153	169.96	67.979	550.375	424.991	219.097	116.531	68.4143	29.9021	0	37.783	76.0418	0	16.4593	0	19.2969	33.5796	0	39.0115	0
