Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,16:31:00,16:36:04,16:41:04,16:46:04,16:51:04,16:56:04,17:01:04,17:06:04,17:11:04,17:16:04,17:21:04,17:26:04,17:31:04,17:36:04,17:41:04,17:46:04,17:51:04,17:56:04,18:01:04,18:06:04,18:11:04,18:16:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
82,134.89,7244.02,6384.89,6412.9,6347.58,5422.87,4431.07,4424.48,3461.01,2766.14,1774.23,1457.94,895.889,998.501,726.117,848.573,284.903,531.608,288.733,382.28,144.598,157.865
85.1,192.428,7011.98,7314.3,5553.25,6532.9,5432.7,5002.5,5044,3796.23,3419.73,1910.71,1773.09,1223.69,658.587,762.007,532.917,188.411,515.99,327.671,236.94,208.375,118.458
88.2,131.926,6806.84,6467.65,6584.9,6286.91,5673.41,4390.12,4846.47,3232.16,2719.14,1620.15,1608.97,831.682,940.987,818.711,368.41,441.718,268.123,341.454,191.062,167.798,110.528
91.4,85.7402,6961.89,7168.2,6350.07,6041.27,6325.82,4808.06,4957.15,3714.02,2808.69,2026.83,1412.28,1155.75,770.998,592.131,589.346,549.15,351.082,376.818,143.913,207.04,77.0211
94.7,70.8309,6184.81,5820.61,5954.21,5421.39,5562.39,4414.75,4361.8,3377.42,2429.18,2105,1487.87,1183.08,813.177,631.758,409.669,358.769,150.097,76.3988,139.805,205.256,189.512
98.2,165.597,5925.37,6546.05,6364.38,5986.44,5546.88,4983.94,4252.57,3433.47,2661.36,1530.05,1405.36,1065.4,1023.27,1012.51,480.363,323.195,249.396,332.724,205.913,106.874,120.554
101.8,130.687,6243.48,6183.04,6145.24,5653.39,5246.26,5179.84,4717.52,2928.22,2487.76,1672,1884.62,1033.5,944.725,714.556,376.418,490.44,264.298,303.739,214.668,271.626,84.6539
105.5,251.89,7914.95,7614.37,7213.88,7055.53,6815.84,6070.28,5640.8,3682.16,3222.26,2647,1836.66,1531.27,915.889,730.939,477.88,417.778,410.056,224.097,175.531,166.215,111.128
109.4,143.755,8395.72,8281.12,7991.11,7300.3,6977.31,6775.34,5661.21,3927.71,3544.79,2631.5,1800.12,1464.52,1267.83,877.307,613.593,527.012,438.528,402.718,237.336,302.039,244.518
113.4,159.869,7978.48,7947.88,7732.18,7908.84,7383.69,7185.42,5951.23,3974.64,3628.34,2895.65,1933.67,1296.31,1184.19,916.863,486.903,584.939,518.216,384.483,298.491,243.452,207.754
117.6,173.031,7429.03,8535.02,8292.79,7229.07,7052.3,7022.64,5763.56,4360.88,3306.19,2654.77,1966.08,1670.06,1088.94,979.028,694.226,388.561,364.744,331.586,238.803,139.872,222.223
121.9,99.1291,8555.65,7918.39,7716.54,7447,6994.2,6876.82,5098.53,4273.52,2873.45,2526.19,2050.86,1583.52,1344.38,752.786,660.861,663.813,264.344,313.909,158.546,181.737,193.065
126.3,197.594,8252.97,8280.99,7705.72,7105.17,6810.59,6662.05,5360.37,4559.41,3017.47,2199.05,2192.75,1489.12,1163.71,871.176,794.235,764.665,395.189,214.061,230.527,191.29,196.123
131,98.4792,7715.79,7923.01,7784.23,7034.18,7002.49,7115.98,5630.55,4302.14,2824.69,2458.98,1777.24,1711.32,1232.63,752.806,751.162,432.762,344.677,508.809,180.545,154.003,131.306
135.8,147.262,7923.97,8201.67,7464.94,7008.12,6272.07,6523.61,5766.09,4354.82,3191.41,2345.29,2002.58,1311.46,1149.21,831.115,510.285,445.1,281.211,330.298,336.399,248.486,346.661
140.7,131.114,8258.41,7364.85,7271.6,7379.01,6805.35,6697.27,5373.55,4047.28,2927.48,2469.06,1938.74,1553.2,1105.94,876.437,690.731,515.925,311.979,230.032,355.036,148.086,144.448
145.9,134.228,7982.63,7886.77,7010.71,7155.15,6893.06,6656.19,5282.94,3871.33,3471.04,2689.56,1832.25,1441.77,1321.84,769.461,771.98,436.686,375.419,309.746,308.305,161.98,197.021
