Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
79.1,1918.28,2165,2262.11,2049.45,2341.86,2234.76,2043.27,1985.42,3619.47,2464.27,2168.97,1690.92,833.271,953.825,782.552,460.997,419.796,593.096,314.307,403.655,205.958,224.902,124.923,176.688
82,2502.81,2134.72,2328.56,2040.99,1914.26,2134,2086.92,2003.51,3302.51,2258.39,2041.44,1069.16,1150.85,931.713,547.282,569.038,475.283,337.472,280.17,301.162,369.584,240.168,204.291,143.657
85.1,1744.85,2177.47,2214.12,1796.1,2182.06,1841.66,1768.55,1804.31,3101.23,2473.66,2129.8,1699.53,1414.03,865.719,699.372,599.627,402.301,255.985,178.927,274.74,230.682,112.376,78.1543,124.195
88.2,1870.13,2633.09,2101.46,1719.89,2285.2,2069.39,1863.94,1745.38,2953.09,2378.99,2058.05,1216.77,1375.34,752.967,878.217,749.23,518.688,322.119,356.116,300.1,121.123,183.237,78.2216,210.189
91.4,2196.96,2091.18,2222.18,2660.58,2313.98,2167.26,2046.28,1752.39,3107,1969.78,1863.46,1656.75,797.08,851.864,582.808,422.789,456.779,328.866,295.619,252.235,373.589,229.161,149.593,262.81
94.7,2007.71,2329.69,2088.66,2455.36,2042.89,2112.36,1954.27,2067.42,2622.61,2086.62,2115.15,1236.02,885.815,857.865,720.809,491.844,586.253,190.913,255.894,328.004,116.517,120.91,189.367,160.586
98.2,1895.37,2037.39,2038.57,2041.02,2179.78,1707.66,2121.37,1845.79,2535.76,2020.92,2074.78,1460.27,1010.87,984.355,776.98,575.662,440.765,491.821,192.468,326.951,238.473,228.065,261.756,218.951
101.8,1987.05,2140.65,2037.91,1919.65,1998.87,2283.77,1726.24,1905.31,2741.03,2042.91,1741.59,1220.98,986.807,946.715,525.07,357.172,435.531,393.868,193.424,170.289,195.949,193.831,241.75,162.569
105.5,1945.31,2136.19,1896.46,2078.41,2066.13,2031.54,1844.04,1808.23,2821.82,2337.25,1726.05,1374.81,1233.05,896.419,462.325,531.325,438.093,507.865,187.881,458.999,263.233,143.264,209.151,274.001
109.4,2027.94,2413.28,2605.63,2080.53,1967.66,2013.41,1831.17,1974.84,2655.63,2308.27,1514.86,1121.57,1172.08,668.683,680.796,680.712,462.657,347.531,328.417,285.259,321.152,285.259,100.68,203.693
113.4,1955.27,2128.94,2160.33,2062.87,1778.54,1957.39,2141.13,2163.17,2724.09,2146.31,1508.45,1341.43,868.834,900.147,520.193,460.768,451.206,432.224,267.323,267.466,250.606,284.183,167.166,334.189
117.6,1975.73,1520.92,1797.64,1796,1690.68,2046.63,1950.89,1689.83,2284.89,2267.46,1233.94,1143.81,990.005,849.587,499.319,527.888,338.824,255.382,239.348,198.951,255.927,215.531,248.689,173.031
