Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\Low 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	11:40:53	11:45:57	11:50:57	11:55:57	12:00:57	12:05:57	12:10:57	12:15:57	12:20:57	12:25:57	12:30:57	12:35:57	12:40:57	12:45:57	12:50:57	12:55:57	13:00:57	13:05:57	13:10:57	13:15:57	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57
Diameter Midpoint
 73.7	399.505	501.093	932.063	596.39	732.249	522.348	552.301	579.165	711.088	559.678	1240.05	1520.81	1070.62	1193.8	1299.58	916.856	909.697	889.729	786.538	925.345	895.783	894.13	841.204	897.919	836.091
 76.4	360.382	829.9	566.213	348.175	586.824	877.889	728.908	593.243	602.937	563.528	1502.7	1204.83	1313.21	986.826	1165.54	906.12	679.894	1264.41	948.838	920.177	862.228	865.838	802.998	857.711	501.104
 79.1	528.179	735.59	678.163	441.071	648.349	688.262	499.709	785.529	676.842	527.718	1322.07	1273.74	1229.03	1204.3	1232.26	740.258	827.413	823.308	761.443	1083.52	636.287	542.337	610.9	707.424	681.331
 82.0	420.464	679.822	677.253	577.187	705.214	627.359	677.452	546.103	505.621	503.939	1053.61	1049.78	1001.29	885.609	921.486	1182.39	925.199	1170.64	946.374	1040.03	813.84	731.538	866.211	663.843	534.181
 85.1	344.407	768.391	524.994	688.517	796.11	635.141	629.423	625.781	462.787	628.914	1404.49	1273.69	1050.23	1395.5	964.492	1026.99	1121.95	960.185	641.059	696.322	824.684	828.667	476.448	812.052	993.437
 88.2	207.355	565.687	523.092	438.037	423.708	572.866	653.266	527.924	326.271	345.426	1193.25	1381.14	1054.64	993.314	882.465	697.19	1019.41	973.866	817.619	903.712	821.352	810.317	572.949	765.915	734.545
 91.4	1690.04	639.446	894.044	510.933	683.165	646.282	588.617	570.672	406.955	579.258	1571.83	1011.58	985.052	859.561	639.148	1060.54	839.806	804.861	535.816	744.601	870.521	741.826	701.912	591.519	613.106
 94.7	643.095	622.055	615.544	555.83	569.192	402.144	605.889	448.097	619.693	447.711	1111.55	1047.07	1067.73	894.921	780.981	715.775	760.544	734.778	795.441	703.81	783.591	667.467	774.204	590.732	495.781
 98.2	318.56	742.1	523.603	360.687	703.818	461.223	501.972	327.781	509.509	524.389	1074.31	953.131	1160.16	1135.68	927.076	773.601	1004.11	952.64	768.091	780.193	848.745	626.768	432.715	826.28	588.929
101.8	387.096	342.195	452.896	601.558	441.768	476.295	539.725	483.972	325.077	599.906	996.019	1267.21	834.866	740.455	813.506	674.385	578.697	871.171	719.933	665.438	903.287	627.696	635.285	653.26	713.368
